word_id,paper_id,unit_ids,canonical_section_ids,solving_count_final,listening_question_count_final,listening_transcript_text_count_final,listening_asr_approved_count_final,total_count_final,domain_presence,paper_solving_status,paper_listening_question_status,paper_listening_heard_status,paper_all_status,has_asr_occurrence,has_ocr_occurrence,asr_quality_flags
bd0df4a4d4c21488a5f07c2d,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,25,0,0,25,listening_question,final,final,machine_provisional,machine_available,False,False,
1a7d373fb13bd8cf05deb54e,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,21,0,0,21,listening_question,final,final,machine_provisional,machine_available,False,False,
9eebdbdd7c5e25417a8e8d33,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,18,0,0,18,listening_question,final,final,machine_provisional,machine_available,False,False,
b74666b0d04cf261a8b1cb56,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,17,0,0,17,listening_question,final,final,machine_provisional,machine_available,False,False,
1e404d6ef77b2e399dcac9ea,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,14,0,0,14,listening_question,final,final,machine_provisional,machine_available,False,False,
340ea5148a239ebe5f04b7a9,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,12,0,0,12,listening_question,final,final,machine_provisional,machine_available,False,False,
e1e305791ecd08605e609e79,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,11,0,0,11,listening_question,final,final,machine_provisional,machine_available,False,False,
580519abf0b79c150ea4c27f,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,10,0,0,10,listening_question,final,final,machine_provisional,machine_available,False,False,
a28c9bd57bfd06cb89b8abe3,gaokao-ja-2006-national-standard,listening_question_q08_q15,11aed475576d437a13647918,0,10,0,0,10,listening_question,final,final,machine_provisional,machine_available,False,False,
0a10079262c06fb202c0e307,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,9,0,0,9,listening_question,final,final,machine_provisional,machine_available,False,False,
8dfffbff2fed4e8b3090bbb8,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,9,0,0,9,listening_question,final,final,machine_provisional,machine_available,False,False,
2ab65108684cd350887e0dda,gaokao-ja-2006-national-standard,listening_question_q08_q15,11aed475576d437a13647918,0,8,0,0,8,listening_question,final,final,machine_provisional,machine_available,False,False,
4308ad0cc72a0b9a5567c674,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,8,0,0,8,listening_question,final,final,machine_provisional,machine_available,False,False,
73fae5510461d7c3c64f8578,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,8,0,0,8,listening_question,final,final,machine_provisional,machine_available,False,False,
35550afb1ca89db33e0543b1,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,7,0,0,7,listening_question,final,final,machine_provisional,machine_available,False,False,
c457c5ef509fea23d75e316c,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,7,0,0,7,listening_question,final,final,machine_provisional,machine_available,False,False,
e24256b2f4b9ff416d336c48,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,7,0,0,7,listening_question,final,final,machine_provisional,machine_available,False,False,
b928a8f5c9d104342f2a52a3,gaokao-ja-2006-national-standard,listening_question_q08_q15,11aed475576d437a13647918,0,6,0,0,6,listening_question,final,final,machine_provisional,machine_available,False,False,
cc942c6982c8ad12c28ba1c9,gaokao-ja-2006-national-standard,listening_question_q08_q15,11aed475576d437a13647918,0,6,0,0,6,listening_question,final,final,machine_provisional,machine_available,False,False,
7c274a32578ab37a2090d190,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,5,0,0,5,listening_question,final,final,machine_provisional,machine_available,False,False,
8042dc832002f3ea3432bea1,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,5,0,0,5,listening_question,final,final,machine_provisional,machine_available,False,False,
9a6fa1c080d2aaac492e1e8b,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,5,0,0,5,listening_question,final,final,machine_provisional,machine_available,False,False,
c4cba9ee254ca1bafc8869a3,gaokao-ja-2006-national-standard,listening_question_q08_q15,11aed475576d437a13647918,0,5,0,0,5,listening_question,final,final,machine_provisional,machine_available,False,False,
d2733526e75f4f2e06ac7600,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,5,0,0,5,listening_question,final,final,machine_provisional,machine_available,False,False,
08ca7fe20e875bb5a01fc8bc,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,4,0,0,4,listening_question,final,final,machine_provisional,machine_available,False,False,
326d90f1b8fec3a5ef603e0f,gaokao-ja-2006-national-standard,listening_question_q08_q15,11aed475576d437a13647918,0,4,0,0,4,listening_question,final,final,machine_provisional,machine_available,False,False,
3e1e44b162e798c04b6394bf,gaokao-ja-2006-national-standard,listening_question_q08_q15,11aed475576d437a13647918,0,4,0,0,4,listening_question,final,final,machine_provisional,machine_available,False,False,
a1fbe7bcbfdaf70310c79bef,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,4,0,0,4,listening_question,final,final,machine_provisional,machine_available,False,False,
a4333734b9503e5d2af25490,gaokao-ja-2006-national-standard,listening_question_q01_q07;listening_question_q08_q15,11aed475576d437a13647918;2b3dfdbf65c56c35f5aa9cc9,0,4,0,0,4,listening_question,final,final,machine_provisional,machine_available,False,False,
